id,election_id,person_id,party_id,votes,vote_share,elected,created_at,updated_at
104,21,104,24,11925,6.14,0,2025-12-12 15:17:57,2025-12-12 15:17:57
105,21,105,14,20453,10.53,0,2025-12-12 15:17:57,2025-12-12 15:17:57
106,21,106,29,3590,1.85,0,2025-12-12 15:17:57,2025-12-12 15:17:57
107,21,107,7,5028,2.59,0,2025-12-12 15:17:57,2025-12-12 15:17:57
108,21,108,4,75714,38.97,0,2025-12-12 15:17:57,2025-12-12 15:17:57
109,21,109,4,77560,39.92,1,2025-12-12 15:17:57,2025-12-12 15:17:57
110,22,110,10,2212,3.25,0,2025-12-12 15:17:59,2025-12-12 15:17:59
111,22,111,32,4363,6.41,0,2025-12-12 15:17:59,2025-12-12 15:17:59
112,22,112,2,19473,28.59,0,2025-12-12 15:17:59,2025-12-12 15:17:59
113,22,113,12,37957,55.72,1,2025-12-12 15:17:59,2025-12-12 15:17:59
114,22,114,4,4112,6.04,0,2025-12-12 15:17:59,2025-12-12 15:17:59
115,23,115,16,34606,57.53,1,2025-12-12 15:18:01,2025-12-12 15:18:01
116,23,116,27,3716,6.18,0,2025-12-12 15:18:01,2025-12-12 15:18:01
117,23,117,18,6057,10.07,0,2025-12-12 15:18:01,2025-12-12 15:18:01
118,23,118,4,12039,20.01,0,2025-12-12 15:18:01,2025-12-12 15:18:01
119,23,119,4,3735,6.21,0,2025-12-12 15:18:01,2025-12-12 15:18:01
120,24,120,10,5429,8.99,0,2025-12-12 15:18:03,2025-12-12 15:18:03
121,24,121,23,34106,56.49,1,2025-12-12 15:18:03,2025-12-12 15:18:03
122,24,122,27,4668,7.73,0,2025-12-12 15:18:03,2025-12-12 15:18:03
123,24,123,4,16170,26.78,0,2025-12-12 15:18:04,2025-12-12 15:18:04
124,25,124,10,7001,9.17,0,2025-12-12 15:18:06,2025-12-12 15:18:06
125,25,125,16,13158,17.24,0,2025-12-12 15:18:06,2025-12-12 15:18:06
126,25,126,2,28748,37.67,1,2025-12-12 15:18:06,2025-12-12 15:18:06
127,25,127,4,27406,35.91,0,2025-12-12 15:18:06,2025-12-12 15:18:06
128,26,128,24,6575,2.02,0,2025-12-12 15:18:08,2025-12-12 15:18:08
129,26,129,14,227693,70.0,1,2025-12-12 15:18:08,2025-12-12 15:18:08
130,26,130,29,7691,2.36,0,2025-12-12 15:18:08,2025-12-12 15:18:08
131,26,131,27,8695,2.67,0,2025-12-12 15:18:08,2025-12-12 15:18:08
132,26,132,21,56157,17.27,0,2025-12-12 15:18:08,2025-12-12 15:18:08
133,26,133,4,18443,5.67,0,2025-12-12 15:18:08,2025-12-12 15:18:08
134,27,134,20,4454,39.07,0,2025-12-12 15:18:10,2025-12-12 15:18:10
135,27,135,12,6946,60.93,1,2025-12-12 15:18:10,2025-12-12 15:18:10
