id,official_name,common_name,type,parent_id,external_code,created_at,updated_at
26,Macul,Macul,COMMUNE,1,13118,2025-12-12 15:18:06,2025-12-12 15:18:06
27,Maipú,Maipú,COMMUNE,1,13119,2025-12-12 15:18:08,2025-12-12 15:18:08
28,María Pinto,María Pinto,COMMUNE,1,13503,2025-12-12 15:18:10,2025-12-12 15:18:10
29,Melipilla,Melipilla,COMMUNE,1,13501,2025-12-12 15:18:13,2025-12-12 15:18:13
30,Ñuñoa,Ñuñoa,COMMUNE,1,13120,2025-12-12 15:18:15,2025-12-12 15:18:15
31,Padre Hurtado,Padre Hurtado,COMMUNE,1,13604,2025-12-12 15:18:17,2025-12-12 15:18:17
32,Paine,Paine,COMMUNE,1,13404,2025-12-12 15:18:19,2025-12-12 15:18:19
33,Pedro Aguirre Cerda,Pedro Aguirre Cerda,COMMUNE,1,13121,2025-12-12 15:18:22,2025-12-12 15:18:22
34,Peñaflor,Peñaflor,COMMUNE,1,13605,2025-12-12 15:18:24,2025-12-12 15:18:24
35,Peñalolén,Peñalolén,COMMUNE,1,13122,2025-12-12 15:18:26,2025-12-12 15:18:26
36,Pirque,Pirque,COMMUNE,1,13202,2025-12-12 15:18:29,2025-12-12 15:18:29
37,Providencia,Providencia,COMMUNE,1,13123,2025-12-12 15:18:31,2025-12-12 15:18:31
38,Pudahuel,Pudahuel,COMMUNE,1,13123,2025-12-12 15:18:33,2025-12-12 15:18:33
39,Puente Alto,Puente Alto,COMMUNE,1,13201,2025-12-12 15:18:35,2025-12-12 15:18:35
40,Quilicura,Quilicura,COMMUNE,1,13124,2025-12-12 15:18:38,2025-12-12 15:18:38
41,Quinta Normal,Quinta Normal,COMMUNE,1,13125,2025-12-12 15:18:40,2025-12-12 15:18:40
42,Recoleta,Recoleta,COMMUNE,1,13126,2025-12-12 15:18:42,2025-12-12 15:18:42
43,Renca,Renca,COMMUNE,1,13127,2025-12-12 15:18:44,2025-12-12 15:18:44
44,San Bernardo,San Bernardo,COMMUNE,1,13401,2025-12-12 15:18:47,2025-12-12 15:18:47
45,San Joaquín,San Joaquín,COMMUNE,1,13128,2025-12-12 15:18:49,2025-12-12 15:18:49
46,San José de Maipo,San José de Maipo,COMMUNE,1,13203,2025-12-12 15:18:51,2025-12-12 15:18:51
47,San Miguel,San Miguel,COMMUNE,1,13129,2025-12-12 15:18:54,2025-12-12 15:18:54
48,San Pedro,San Pedro,COMMUNE,1,13504,2025-12-12 15:18:56,2025-12-12 15:18:56
49,San Ramón,San Ramón,COMMUNE,1,13130,2025-12-12 15:18:58,2025-12-12 15:18:58
50,Santiago,Santiago,COMMUNE,1,13101,2025-12-12 15:19:01,2025-12-12 15:19:01
51,Talagante,Talagante,COMMUNE,1,13601,2025-12-12 15:19:03,2025-12-12 15:19:03
52,Tiltil,Tiltil,COMMUNE,1,13303,2025-12-12 15:19:05,2025-12-12 15:19:05
53,Vitacura,Vitacura,COMMUNE,1,13131,2025-12-12 15:19:07,2025-12-12 15:19:07
